HS부호,한글품목명,영문품목명,성질통합분류코드,성질통합분류코드명
2925112000,사카린의 염,Salts of saccharin,25030201,유기화합물
2925120000,구루테치미드(INN),Glutethimide (INN),25030201,유기화합물
2925191000,프탈이미드,Phthalimide,25030201,유기화합물
0029251990,기타,Other,,
2925199010,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2925199090,기타,Other,25030201,유기화합물
2925210000,클로르디메포름(ISO),Chlordimeform (ISO),25030201,유기화합물
2925291000,디페닐구아니딘,Diphenyl guanidine,25030201,유기화합물
0029252990,기타,Other,,
2925299010,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2925299090,기타,Other,25030201,유기화합물
2926100000,아크릴로니트릴,Acrylonitrile,25010201,석유화학섬유원료
2926200000,1-시아노구아니딘(디시안디아미드),1-Cyanoguanidine (dicyandiamide),25030201,유기화합물
2926300000,"펜프로포렉스(INN)와 그 염, 메사돈(INN) 제조중간체(4-시아노-2-디메틸아미노-4,4-디페닐부탄)","Fenproporex (INN) and its salts; methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)",25030201,유기화합물
2926400000,알파-페닐아세토아세토니트릴,Alpha-Phenylacetoacetonitrile,25030201,유기화합물
2926903000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2926904000,아세토니트릴,Acetonitrile,25030201,유기화합물
2926909000,기타,Other,25030201,유기화합물
0002927001,디아조화합물,Diazo-compounds,,
2927001100,6-니트로-1-디아조-2-나프톨-4-술폰산,6-nitro-1-diazo-2-naphthol-4-sulfonic acid,25030201,유기화합물
2927001900,기타,Other,25030201,유기화합물
0002927002,아조화합물,Azo-compounds,,
2927002100,아조디카본아미드,Azodicarbonamide,25030201,유기화합물
0029270029,기타,Other,,
2927002910,아조이소부티로니트릴,Azoisobutyronitrile,25030201,유기화합물
2927002990,기타,Other,25030201,유기화합물
2927003000,아족시화합물,Azoxy-compounds,25030201,유기화합물
2928002000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2928003000,메틸에틸 케토옥심,Methylethyl ketoxime,25030201,유기화합물
2928009000,기타,Other,25030201,유기화합물
2929101000,톨루엔 디이소시아네이트,Toluene diisocyanate,25030201,유기화합물
2929102000,디페닐메탄 디이소시아네이트,Diphenyl methane diisocyanate,25030201,유기화합물
2929109000,기타,Other,25030201,유기화합물
2929900000,기타,Other,25030201,유기화합물
2930100000,"2-(엔,엔-디메틸아미노) 에탄티올","2-(N,N-Dimethylamino) ethanethiol",25030201,유기화합물
0029302010,티오카르바메이트,Thiocarbamates,,
2930201010,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2930201090,기타,Other,25030201,유기화합물
0029302020,디티오카르바메이트,Dithiocarbamates,,
2930202010,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2930202090,기타,Other,25030201,유기화합물
2930301000,티우람모노술파이드,Thiuram mono-sulphides,25030201,유기화합물
2930302000,티우람디술파이드,Thiuram di-sulphides,25030201,유기화합물
2930303000,티우람테트라술파이드,Thiuram tetra-sulphides,25030201,유기화합물
2930400000,메티오닌,Methionine,25030201,유기화합물
2930600000,"2-(엔,엔-디에틸아미노)에탄티올","2-(N,N-Diethylamino)ethanethiol",25030201,유기화합물
